time	Temperature	X	Y	Velocity
0.000	9.9e+04	4.999	5.012	[-0.01208  0.11774]
1.000	9.9e+04	4.991	5.087	[-0.00508  0.04267]
2.000	9.9e+04	4.987	5.113	[-0.0025   0.01505]
3.000	9.9e+04	4.985	5.122	[-0.00155  0.00489]
4.000	9.9e+04	4.984	5.125	[-0.0012   0.00115]
5.000	9.9e+04	4.983	5.125	[-0.00107 -0.00023]
6.000	9.9e+04	4.982	5.125	[-0.00102 -0.00073]
7.000	9.9e+04	4.981	5.124	[-0.00101 -0.00092]
8.000	9.9e+04	4.980	5.123	[-0.001   -0.00099]
9.000	9.9e+04	4.979	5.122	[-0.001   -0.00101]
10.000	9.9e+04	4.978	5.121	[-0.001   -0.00102]
11.000	9.9e+04	4.977	5.120	[-0.001   -0.00102]
12.000	9.9e+04	4.976	5.119	[-0.001   -0.00102]
13.000	9.9e+04	4.975	5.118	[-0.001   -0.00102]
14.000	9.9e+04	4.974	5.117	[-0.001   -0.00102]
15.000	9.9e+04	4.973	5.116	[-0.001   -0.00102]
16.000	9.9e+04	4.972	5.115	[-0.001   -0.00102]
17.000	9.9e+04	4.971	5.114	[-0.001   -0.00102]
18.000	9.9e+04	4.970	5.113	[-0.00099 -0.00102]
19.000	9.9e+04	4.969	5.112	[-0.00099 -0.00102]
20.000	9.9e+04	4.968	5.111	[-0.00099 -0.00102]
21.000	9.9e+04	4.967	5.110	[-0.00099 -0.00102]
22.000	9.9e+04	4.966	5.109	[-0.00099 -0.00102]
23.000	9.9e+04	4.965	5.108	[-0.00099 -0.00102]
24.000	9.9e+04	4.964	5.107	[-0.00099 -0.00102]
25.000	9.9e+04	4.963	5.106	[-0.00099 -0.00102]
26.000	9.9e+04	4.962	5.105	[-0.00099 -0.00102]
27.000	9.9e+04	4.961	5.104	[-0.00099 -0.00102]
28.000	9.9e+04	4.960	5.103	[-0.00099 -0.00102]
29.000	9.9e+04	4.959	5.102	[-0.00099 -0.00102]
30.000	9.9e+04	4.958	5.101	[-0.00099 -0.00102]
31.000	9.9e+04	4.957	5.100	[-0.00099 -0.00102]
32.000	9.9e+04	4.956	5.099	[-0.00099 -0.00102]
33.000	9.9e+04	4.955	5.097	[-0.00099 -0.00102]
34.000	9.9e+04	4.954	5.096	[-0.00099 -0.00102]
35.000	9.9e+04	4.953	5.095	[-0.00099 -0.00102]
36.000	9.9e+04	4.952	5.094	[-0.00099 -0.00102]
37.000	9.9e+04	4.951	5.093	[-0.00099 -0.00102]
38.000	9.9e+04	4.950	5.092	[-0.00099 -0.00102]
39.000	9.9e+04	4.949	5.091	[-0.00099 -0.00102]
40.000	9.9e+04	4.948	5.090	[-0.00099 -0.00102]
41.000	9.9e+04	4.947	5.089	[-0.00099 -0.00102]
