time	X	Y
0.000	1.970	8.064
1.000	1.955	8.102
2.000	1.955	8.103
3.000	1.963	8.110
4.000	1.963	8.111
5.000	1.978	8.125
6.000	2.031	8.178
7.000	2.018	8.165
8.000	2.039	8.186
9.000	2.013	8.160
10.000	2.030	8.177
11.000	2.074	8.220
12.000	2.026	8.172
13.000	2.013	8.159
14.000	2.032	8.179
15.000	2.052	8.198
16.000	2.071	8.216
17.000	2.070	8.216
18.000	2.075	8.220
19.000	2.038	8.183
20.000	2.039	8.185
21.000	2.063	8.208
22.000	2.075	8.220
23.000	2.096	8.241
24.000	2.108	8.253
25.000	2.114	8.259
26.000	2.093	8.238
27.000	2.147	8.291
28.000	2.115	8.260
29.000	2.139	8.284
30.000	2.151	8.295
31.000	2.138	8.282
32.000	2.155	8.299
33.000	2.176	8.319
34.000	2.205	8.349
35.000	2.179	8.322
36.000	2.170	8.313
37.000	2.212	8.355
38.000	2.264	8.407
39.000	2.224	8.367
40.000	2.214	8.357
41.000	2.206	8.348
42.000	2.185	8.327
43.000	2.177	8.320
44.000	2.159	8.301
45.000	2.200	8.342
46.000	2.254	8.396
47.000	2.261	8.402
48.000	2.253	8.394
49.000	2.259	8.401
50.000	2.278	8.419
51.000	2.326	8.467
52.000	2.349	8.490
53.000	2.366	8.507
54.000	2.352	8.493
55.000	2.416	8.557
56.000	2.406	8.547
57.000	2.387	8.528
58.000	2.383	8.524
59.000	2.340	8.480
60.000	2.363	8.503
61.000	2.376	8.516
62.000	2.366	8.505
63.000	2.401	8.540
64.000	2.403	8.542
65.000	2.466	8.605
66.000	2.490	8.629
67.000	2.460	8.599
68.000	2.483	8.622
69.000	2.523	8.662
70.000	2.501	8.640
71.000	2.451	8.589
72.000	2.457	8.595
73.000	2.423	8.561
74.000	2.437	8.575
75.000	2.459	8.597
76.000	2.482	8.619
77.000	2.505	8.642
78.000	2.485	8.622
79.000	2.509	8.646
80.000	2.535	8.672
81.000	2.509	8.646
82.000	2.499	8.636
83.000	2.433	8.570
84.000	2.369	8.506
85.000	2.361	8.498
86.000	2.342	8.479
87.000	2.384	8.520
88.000	2.393	8.530
89.000	2.371	8.507
90.000	2.358	8.494
91.000	2.364	8.500
92.000	2.330	8.466
93.000	2.329	8.464
94.000	2.347	8.482
95.000	2.288	8.424
96.000	2.264	8.399
97.000	2.254	8.389
98.000	2.248	8.383
99.000	2.254	8.389
100.000	2.261	8.396
101.000	2.257	8.392
102.000	2.258	8.392
103.000	2.248	8.383
104.000	2.244	8.379
105.000	2.300	8.434
106.000	2.285	8.419
107.000	2.268	8.401
108.000	2.269	8.403
109.000	2.280	8.413
110.000	2.251	8.384
111.000	2.240	8.373
112.000	2.277	8.410
113.000	2.329	8.462
114.000	2.311	8.444
115.000	2.256	8.388
116.000	2.292	8.425
117.000	2.266	8.398
118.000	2.220	8.353
119.000	2.159	8.291
120.000	2.170	8.302
121.000	2.177	8.309
122.000	2.150	8.282
123.000	2.166	8.298
124.000	2.104	8.235
125.000	2.136	8.267
126.000	2.130	8.262
127.000	2.129	8.260
128.000	2.148	8.279
129.000	2.152	8.283
130.000	2.159	8.290
131.000	2.164	8.294
132.000	2.122	8.252
133.000	2.106	8.236
134.000	2.092	8.222
135.000	2.144	8.274
136.000	2.188	8.318
137.000	2.251	8.381
138.000	2.248	8.377
139.000	2.249	8.378
140.000	2.293	8.422
141.000	2.295	8.424
142.000	2.250	8.379
143.000	2.260	8.389
144.000	2.288	8.417
145.000	2.283	8.411
146.000	2.262	8.390
147.000	2.262	8.390
148.000	2.313	8.441
149.000	2.296	8.424
150.000	2.304	8.432
151.000	2.335	8.462
152.000	2.322	8.450
153.000	2.332	8.459
154.000	2.337	8.465
155.000	2.357	8.484
156.000	2.328	8.456
157.000	2.306	8.433
158.000	2.292	8.419
159.000	2.325	8.452
160.000	2.374	8.500
161.000	2.377	8.503
162.000	2.388	8.515
163.000	2.408	8.534
164.000	2.385	8.511
165.000	2.371	8.497
166.000	2.333	8.459
167.000	2.348	8.474
168.000	2.357	8.483
169.000	2.357	8.482
170.000	2.367	8.492
171.000	2.357	8.482
172.000	2.358	8.483
173.000	2.364	8.489
174.000	2.385	8.510
175.000	2.372	8.497
176.000	2.379	8.503
177.000	2.373	8.497
178.000	2.395	8.519
179.000	2.420	8.545
180.000	2.483	8.607
181.000	2.550	8.674
182.000	2.516	8.639
183.000	2.544	8.667
184.000	2.557	8.680
185.000	2.554	8.677
186.000	2.563	8.687
187.000	2.584	8.707
188.000	2.535	8.658
189.000	2.528	8.651
190.000	2.499	8.622
191.000	2.472	8.594
192.000	2.438	8.561
193.000	2.408	8.530
194.000	2.414	8.536
195.000	2.436	8.558
196.000	2.411	8.532
197.000	2.410	8.531
198.000	2.389	8.511
199.000	2.408	8.529
200.000	2.461	8.582
201.000	2.465	8.586
202.000	2.499	8.620
203.000	2.486	8.607
204.000	2.497	8.617
205.000	2.466	8.587
206.000	2.487	8.607
207.000	2.464	8.585
208.000	2.474	8.594
209.000	2.522	8.642
210.000	2.513	8.633
211.000	2.514	8.633
212.000	2.509	8.628
213.000	2.531	8.651
214.000	2.532	8.651
215.000	2.561	8.680
216.000	2.534	8.653
217.000	2.543	8.662
218.000	2.544	8.663
219.000	2.535	8.654
220.000	2.523	8.641
221.000	2.528	8.647
222.000	2.536	8.655
223.000	2.527	8.645
224.000	2.482	8.600
225.000	2.519	8.637
226.000	2.554	8.672
227.000	2.538	8.656
228.000	2.552	8.670
229.000	2.592	8.710
230.000	2.598	8.715
231.000	2.586	8.703
232.000	2.589	8.706
233.000	2.630	8.747
234.000	2.629	8.745
235.000	2.660	8.777
236.000	2.658	8.775
237.000	2.682	8.798
238.000	2.693	8.810
239.000	2.706	8.822
240.000	2.701	8.817
241.000	2.691	8.807
242.000	2.702	8.818
243.000	2.709	8.825
244.000	2.679	8.794
245.000	2.689	8.804
246.000	2.675	8.790
247.000	2.652	8.767
248.000	2.636	8.751
249.000	2.546	8.661
250.000	2.516	8.631
251.000	2.544	8.659
252.000	2.570	8.684
253.000	2.571	8.686
254.000	2.601	8.715
255.000	2.594	8.709
256.000	2.580	8.694
257.000	2.551	8.665
258.000	2.545	8.659
259.000	2.503	8.616
260.000	2.463	8.576
261.000	2.444	8.557
262.000	2.445	8.558
263.000	2.408	8.521
264.000	2.415	8.528
265.000	2.367	8.480
266.000	2.359	8.471
267.000	2.328	8.441
268.000	2.303	8.415
269.000	2.240	8.352
270.000	2.227	8.339
271.000	2.251	8.363
272.000	2.271	8.383
273.000	2.229	8.340
274.000	2.260	8.371
275.000	2.258	8.369
276.000	2.285	8.396
277.000	2.294	8.405
278.000	2.317	8.428
279.000	2.316	8.427
280.000	2.353	8.464
281.000	2.415	8.526
282.000	2.423	8.534
283.000	2.430	8.540
284.000	2.404	8.514
285.000	2.416	8.526
286.000	2.365	8.475
287.000	2.351	8.461
288.000	2.419	8.529
289.000	2.400	8.509
290.000	2.436	8.545
291.000	2.376	8.485
292.000	2.385	8.494
293.000	2.425	8.534
294.000	2.446	8.555
295.000	2.433	8.542
296.000	2.365	8.473
297.000	2.339	8.448
298.000	2.351	8.460
299.000	2.349	8.458
300.000	2.345	8.453
301.000	2.349	8.457
302.000	2.395	8.503
303.000	2.389	8.496
304.000	2.383	8.491
305.000	2.336	8.443
306.000	2.333	8.441
307.000	2.386	8.493
308.000	2.369	8.476
309.000	2.375	8.482
310.000	2.402	8.509
311.000	2.450	8.556
312.000	2.421	8.528
313.000	2.416	8.522
314.000	2.391	8.497
315.000	2.389	8.495
316.000	2.372	8.478
317.000	2.425	8.531
318.000	2.438	8.544
319.000	2.437	8.542
320.000	2.426	8.531
